,Depth,DevAzimuth,DevInclination,DevComp_North,DevComp_East,DevComp_Down,Dogleg,EffDiam
0,0.08,298.29,0.47,0.0,0.0,0.08,,12.5
198,9.99,13.45,0.38,0.08,-0.09,9.98,572.96,11.81
398,19.98,356.75,0.58,0.15,-0.13,19.98,545.31,11.65
598,29.98,11.21,0.64,0.19,-0.18,29.98,550.71,11.36
798,39.98,339.86,0.42,0.24,-0.21,39.98,1145.92,11.15
998,49.99,325.39,0.13,0.28,-0.27,49.98,556.11,10.67
1198,59.99,90.82,0.4,0.32,-0.32,59.98,1090.62,10.16
1398,69.98,134.39,0.39,0.37,-0.37,69.98,1117.78,9.76
1598,79.98,323.15,1.53,0.42,-0.41,79.98,1090.62,9.49
1798,89.98,236.78,0.44,0.48,-0.44,89.98,0.0,9.35
1998,99.98,328.57,0.67,0.53,-0.46,99.98,1123.34,9.17
2198,109.98,163.26,0.62,0.59,-0.48,109.98,1145.92,9.07
2398,119.98,23.82,0.42,0.64,-0.51,119.97,545.31,8.86
2598,129.98,303.13,0.17,0.69,-0.56,129.97,1090.62,8.49
2798,139.98,340.76,0.27,0.76,-0.59,139.97,1117.78,8.41
2998,149.98,329.05,1.83,0.84,-0.61,149.97,545.31,8.45
3198,159.98,224.79,0.94,0.9,-0.63,159.97,545.31,8.38
3398,169.98,186.68,0.3,0.94,-0.66,169.97,561.67,8.11
3598,179.98,62.42,0.47,1.02,-0.68,179.96,556.11,8.12
3798,189.98,37.38,0.34,1.1,-0.7,189.96,1117.78,8.22
3998,199.98,330.67,0.72,1.19,-0.71,199.96,545.31,8.48
4198,209.98,36.94,1.06,1.32,-0.71,209.96,545.31,9.28
4398,219.98,6.78,0.9,1.46,-0.7,219.96,534.82,10.17
4598,229.98,313.45,0.99,1.59,-0.71,229.96,1090.62,10.81
4798,239.98,24.9,0.75,1.72,-0.72,239.96,0.0,11.58
4998,249.98,5.91,1.54,1.88,-0.73,249.95,524.64,
5198,259.98,5.92,1.39,2.03,-0.74,259.95,1090.62,
5398,269.98,346.51,0.74,2.18,-0.73,269.95,1117.78,
5598,279.98,10.7,0.23,2.34,-0.72,279.95,0.0,
5798,289.98,67.79,0.82,2.51,-0.7,289.95,545.31,
5998,299.98,90.95,0.41,2.7,-0.68,299.94,556.11,
6198,309.98,351.2,1.53,2.9,-0.65,309.94,1090.62,
6398,319.98,86.04,1.8,3.12,-0.62,319.94,2597.72,
6598,329.98,27.18,1.6,3.32,-0.57,329.93,539.91,
6798,339.98,16.28,1.58,3.57,-0.53,339.93,524.34,
6998,349.98,111.56,2.0,3.84,-0.45,349.92,1593.99,
7198,359.98,0.12,0.38,4.1,-0.38,359.92,1090.62,
7398,369.98,11.06,1.82,4.38,-0.32,369.91,1553.54,
7598,379.98,10.61,2.13,4.69,-0.25,379.91,1028.9,
